"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","T_call","=~","call_5_s",1,0,NA,NA,1,1,0.125067994425155,0.436002612633045,0.436002612633045
"2","T_call","=~","call_7_s",0.829647119960898,0.0818595092824565,10.1350121352206,0,0.669205429975161,0.990088809946635,0.103762301374116,0.410321227729739,0.410321227729739
"3","T_call","=~","call_dur_s",0.263269935060962,0.0439001448399529,5.99701745907143,2.00974459296788e-09,0.177227232258562,0.349312637863362,0.0329266427705154,0.218862166620991,0.218862166620991
"4","T_call","=~","call_count_d",1.68429753954453,0.144058969566978,11.6917228035665,0,1.4019471475433,1.96664793154576,0.210651715286058,0.827021894003086,0.827021894003086
"5","T_call","=~","call_dur_d",1.30529290640361,0.105688605700906,12.3503654698363,0,1.09814704565358,1.51243876715364,0.163250365941282,0.785848227696554,0.785848227696554
"6","T_msg","=~","msg_5_s",1,0,NA,NA,1,1,0.115266255809941,0.554906975572664,0.554906975572664
"7","T_msg","=~","msg_7_s",1.00448820420072,0.117868629474352,8.52209963482513,0,0.77346993552389,1.23550647287754,0.115783594303468,0.701703036545585,0.701703036545585
"8","T_msg","=~","msg_dur_s",0.553549497408834,0.0764453726579565,7.24111189679995,4.44977388269763e-13,0.403719320214496,0.703379674603172,0.0638055779717908,0.37750538372224,0.37750538372224
"9","T_msg","=~","msg_count_d",0.315487849481022,0.103072043639414,3.06084791124082,0.00220711174697596,0.11347035613483,0.517505342827213,0.0363651031632076,0.17267347426834,0.17267347426834
"10","T_msg","=~","msg_dur_d",0.24551123180094,0.0949632053533212,2.58533008534715,0.00972858106267882,0.0593867694519497,0.431635694149931,0.0282991604489809,0.149378190951273,0.149378190951273
"11","T_phot","=~","phot_5_s",1,0,NA,NA,1,1,0.169494515047025,0.653812400847037,0.653812400847037
"12","T_phot","=~","phot_7_s",0.798950078617866,0.13415038857958,5.95562999911787,2.5907187506391e-09,0.536020148489836,1.0618800087459,0.135417656122118,0.629367545265373,0.629367545265373
"13","T_phot","=~","phot_dur_s",0.232559068438611,0.0407026723788508,5.71360686772618,1.1060635740634e-08,0.15278329650153,0.312334840375691,0.0394174865247902,0.263320957565309,0.263320957565309
"14","T_phot","=~","phot_count_d",0.279890252936975,0.0822354592079509,3.40352270945808,0.000665228832049891,0.118711714637278,0.441068791236671,0.0474398626879416,0.212117556704504,0.212117556704504
"15","T_phot","=~","phot_dur_d",0.193809172232076,0.0709946820734556,2.7299111225197,0.00633514023990278,0.0546621522742319,0.332956192189921,0.0328495916591411,0.168544819417037,0.168544819417037
"16","T_sm","=~","sm_5_s",1,0,NA,NA,1,1,0.119072295193508,0.500319791392291,0.500319791392291
"17","T_sm","=~","sm_7_s",0.841658646536231,0.0765619445436127,10.9931722809991,0,0.691599992644397,0.991717300428065,0.10021822681253,0.539880162044117,0.539880162044117
"18","T_sm","=~","sm_dur_s",0.496265979168261,0.0566813453638858,8.75536697271928,0,0.385172583659768,0.607359374676753,0.0590915291660182,0.402126460534592,0.402126460534592
"19","T_sm","=~","sm_count_d",1.77328400254267,0.140956436750504,12.580369108517,0,1.49701446312258,2.04955354196275,0.211148996212685,0.841674644196978,0.841674644196978
"20","T_sm","=~","sm_dur_d",1.55403640962652,0.11861790862166,13.1011954913421,0,1.32154958080661,1.78652323844644,0.185042682108508,0.870470377381825,0.870470377381825
"21","T_web","=~","web_5_s",1,0,NA,NA,1,1,0.0749550137225447,0.259741606920126,0.259741606920126
"22","T_web","=~","web_7_s",0.657795537775965,0.111017833851944,5.92513396228949,3.12042902628207e-09,0.440204581784503,0.875386493767427,0.0493050735606262,0.29270770094111,0.29270770094111
"23","T_web","=~","web_dur_s",0.509758225449771,0.0884418338870496,5.76376815185437,8.22563950286792e-09,0.336415416304479,0.683101034595062,0.0382089347837676,0.269105637062665,0.269105637062665
"24","T_web","=~","web_count_d",2.23695505587575,0.315833534724619,7.08270278463681,1.41375799955767e-12,1.61793270270551,2.85597740904598,0.167670996909882,0.822713136900173,0.822713136900173
"25","T_web","=~","web_dur_d",1.86704945131295,0.264008120552625,7.07193948203116,1.52788892648914e-12,1.3496030434037,2.38449585922221,0.139944717243832,0.846430242570132,0.846430242570132
"26","M_5","=~","call_5_s",1,0,NA,NA,1,1,0.115538950285217,0.402783177396997,0.402783177396997
"27","M_5","=~","msg_5_s",0.962558958893261,0.100105014017354,9.61549197452183,0,0.76635673674737,1.15876118103915,0.111213051698158,0.535394315781264,0.535394315781264
"28","M_5","=~","phot_5_s",1.23361779509671,0.116445087847821,10.5939874141268,0,1.00538961673838,1.46184597345504,0.142530905098637,0.549802294378592,0.549802294378592
"29","M_5","=~","sm_5_s",1.04416354245393,0.13365443933111,7.81241197583546,5.55111512312578e-15,0.782205654991066,1.3061214299168,0.120641559621221,0.506913550669686,0.506913550669686
"30","M_5","=~","web_5_s",1.81570220396376,0.194184512328203,9.35039660060496,0,1.43510755344501,2.19629685448251,0.209784326676527,0.726965621263418,0.726965621263418
"31","M_7","=~","call_7_s",1,0,NA,NA,1,1,0.111067547284175,0.439209344425181,0.439209344425181
"32","M_7","=~","msg_7_s",0.745045107517086,0.0790348161240466,9.42679624063051,0,0.590139714389209,0.899950500644963,0.0827503327079969,0.501505935151468,0.501505935151468
"33","M_7","=~","phot_7_s",1.09996211921294,0.105444197197641,10.4316989312481,0,0.893295290326826,1.30662894809906,0.122170094686484,0.567798135040327,0.567798135040327
"34","M_7","=~","sm_7_s",0.870626576879368,0.103567314076359,8.4063836611372,0,0.667638371314157,1.07361478244458,0.0966983584944083,0.520918470758995,0.520918470758995
"35","M_7","=~","web_7_s",0.95370157718229,0.110457442656822,8.63410879559584,0,0.737208967750521,1.17019418661406,0.105925295018686,0.628842983842301,0.628842983842301
"36","M_dur","=~","call_dur_s",1,0,NA,NA,1,1,0.0963078176172872,0.640154472266253,0.640154472266253
"37","M_dur","=~","msg_dur_s",1.36523646208539,0.0729461770433447,18.7156684204872,0,1.22226458227055,1.50820834190023,0.13148294419499,0.777918183316263,0.777918183316263
"38","M_dur","=~","phot_dur_s",1.20356952687259,0.0637003879031418,18.8942260242221,0,1.0787190607812,1.32841999296397,0.11591315448377,0.77433559376968,0.77433559376968
"39","M_dur","=~","sm_dur_s",0.936583757693009,0.067544664967049,13.8661396595854,0,0.804198647009768,1.06896886837625,0.0902003377192118,0.613826432620234,0.613826432620234
"40","M_dur","=~","web_dur_s",1.03998472517163,0.063277978897414,16.4351760800966,0,0.915962165518216,1.16400728482505,0.100158659236594,0.705417723727191,0.705417723727191
"41","M_count","=~","call_count_d",1,0,NA,NA,1,1,0.143100265664535,0.561813857444823,0.561813857444823
"42","M_count","=~","msg_count_d",0.565469122453894,0.0686726934472455,8.2342645099291,2.22044604925031e-16,0.430873116575933,0.700065128331855,0.0809187816482439,0.384228998280423,0.384228998280423
"43","M_count","=~","phot_count_d",1.48326446916095,0.0868802706988761,17.0725120585995,0,1.31298226762407,1.65354667069784,0.212255539587698,0.949056845937766,0.949056845937766
"44","M_count","=~","sm_count_d",0.881207661503652,0.0692306667538392,12.7285739517276,0,0.745518048040433,1.01689727496687,0.126101050466796,0.502659537522016,0.502659537522016
"45","M_count","=~","web_count_d",0.683983301942842,0.0559748915153722,12.2194663254506,0,0.574274530534175,0.793692073351508,0.0978781922181266,0.480260009411007,0.480260009411007
"46","M_ddur","=~","call_dur_d",1,0,NA,NA,1,1,0.0920580426789455,0.443145405937306,0.443145405937306
"47","M_ddur","=~","msg_dur_d",0.567368127119104,0.103575197310922,5.47783776279881,4.30554611963174e-08,0.364364470698068,0.77037178354014,0.0522307992610039,0.275702253415396,0.275702253415396
"48","M_ddur","=~","phot_dur_d",2.02943483233486,0.175256362510871,11.5798068798157,0,1.68593867375206,2.37293099091766,0.186825798409221,0.958566571604965,0.958566571604965
"49","M_ddur","=~","sm_dur_d",0.9203303936168,0.10251831523505,8.97722901031585,0,0.719398188000377,1.12126259923322,0.0847238146543061,0.398554377157782,0.398554377157782
"50","M_ddur","=~","web_dur_d",0.748845373370125,0.0837187059411637,8.94477960393228,0,0.584759724893145,0.912931021847105,0.0689372393416379,0.416954390042397,0.416954390042397
"51","M_5","~~","M_5",0.0133492490330098,0.00238159029261192,5.60518283704016,2.08035240145676e-08,0.00868141783356021,0.0180170802324593,1,1,1
"52","M_7","~~","M_7",0.0123360000597224,0.00208054931478058,5.92920339454839,3.04407832274478e-09,0.00825819833469294,0.0164138017847518,1,1,1
"53","M_dur","~~","M_dur",0.00927519573420466,0.000891268657549676,10.4067338794394,0,0.00752834126485793,0.0110220502035514,1,1,1
"54","M_ddur","~~","M_ddur",0.00847468322187856,0.00146392152402745,5.78902836168672,7.07947456213276e-09,0.00560544975859177,0.0113439166851654,1,1,1
"55","M_count","~~","M_count",0.0204776860332605,0.00253492533405607,8.07822059219974,6.66133814775094e-16,0.0155093236750125,0.0254460483915086,1,1,1
"56","T_call","~~","T_call",0.0156420032295307,0.0026441383640992,5.91572795202779,3.30410943050197e-09,0.0104595872657556,0.0208244191933058,1,1,1
"57","T_msg","~~","T_msg",0.0132863097284427,0.0020193358656687,6.5795442721179,4.71891414832726e-11,0.00932848415904207,0.0172441352978434,1,1,1
"58","T_phot","~~","T_phot",0.0287283906310262,0.00546396236350643,5.25779438432846,1.45793395356364e-07,0.0180192211856712,0.0394375600763811,1,1,1
"59","T_sm","~~","T_sm",0.0141782114826498,0.00220512627779723,6.42965966412265,1.27889920875646e-10,0.00985624339680435,0.0185001795684952,1,1,1
"60","T_web","~~","T_web",0.00561825408214687,0.00162156256541771,3.46471619533201,0.00053079130721656,0.00244004985524978,0.00879645830904396,1,1,1
"61","M_5","~~","M_7",0.0118583012329714,0.00175357840333142,6.76234447826411,1.35775835019558e-11,0.00842135071837459,0.0152952517475683,0.924074273456598,0.924074273456598,0.924074273456598
"62","M_5","~~","M_dur",0.00587004437305419,0.000887407767223866,6.61482194529108,3.72000208415102e-11,0.00413075710969431,0.00760933163641407,0.527535177702944,0.527535177702944,0.527535177702944
"63","M_5","~~","M_ddur",0,0,NA,NA,0,0,0,0,0
"64","M_5","~~","M_count",0,0,NA,NA,0,0,0,0,0
